Name,Platform,Token utility,Technicality,Token distributions,Use_of_funds,Lockup,Vesting,Risk,Governance,team_bio,team_tech,team_market,team_size,advisor_size,advisor_tech,Basics ,Application
Blockmason,,,,,,,,,,,,,,,,3,4
BlockPool,,,,,,,,,,,,,,,,NA,3
Blocktix,,,,,,,,,,,,,,,,NA,3
BoatPilot,0,0,0,1,0,0,0,0,0,3,1,0,7,3,1,3,3
Bonpay,,,,,,,,,,,,,,,,1,2
Boontech,0,1,0,0,0,1,1,0,0,3,2,0,4,0,0,3,4
Boosteroid,0,1,0,1,1,0,0,0,0,2,0,0,6,2,0,3,3
Bounty0x,,,,,,,,,,,,,,,,1,3
BricBit,,,,,,,,,,,,,,,,2,2
Brickblock,,,,,,,,,,,,,,,,1,2
BunnyToken,,,,,,,,,,,,,,,,1,3
CanYaCoin,,,,,,,,,,,,,,,,1,NA
Cappasity,,,,,,,,,,,,,,,,1,3
CarTaxi Token,,,,,,,,,,,,,,,,1,3
CashBag,,,,,,,,,,,,,,,,3,NA
Caviar,,,,,,,,,,,,,,,,2,3
CCORE,,,,,,,,,,,,,,,,1,2
CDX,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,4
Chainium,,,,,,,,,,,,,,,,1,2
ChronoBank,,,,,,,,,,,,,,,,1,2
ChronoLogic,,,,,,,,,,,,,,,,1,NA
Clinicoin,0,1,1,1,1,0,1,0,0,2,0,0,16,9,1,3,NA
Coindash,,,,,,,,,,,,,,,,3,2
CoinLion,,,,,,,,,,,,,,,,3,2
Coinstarter,,,,,,,,,,,,,,,,0,NA
Cointed,0,1,0,1,0,0,0,0,0,2,0,0,22,1,0,1,2
CommerceBlock,,,,,,,,,,,,,,,,1,2
Concierge.io,,,,,,,,,,,,,,,,1,3
ContractNet,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,4
Corion,,,,,,,,,,,,,,,,1,2
